Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Logistic Regression,0.9888641425389755,0.9888894192140755,0.9888641425389755,0.9888657279512031,0.32820558547973633
Naive Bayes,0.9451002227171492,0.9451188839079104,0.9451002227171492,0.945105315986619,0.01744699478149414
Random Forest,0.9988864142538976,0.9988864142538976,0.9988864142538976,0.9988864142538976,4.0287346839904785
